,,2021-09-01 through 2022-09-01,,,,New maintainer requests,,,,,,,,,,,,,,,,,,,,,,,,
# Repo,Current Maintainer,PR Count,Issue Count,Cost,Current Maintainer Request,Request 1,Request 2,Request 3,Request 4,per-person,Claimed,Accounted For,wjwwood,ivanpauno,mjeronimo,sloretz,clalancette,tfoote,ahcorde,cottsay,nuclearsandwich,hidmic,gbiggs,adityapande-1995,audrow,scpeters,quarkytale,methylDragon,codebot,External
ros2/choco-packages,,1,2,1,,nuclearsandwich,,,,1,1,1,,,,,,,,,1,,,,,,,,,
ros2/console_bridge_vendor,ahcorde,4,1,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/eigen3_cmake_module,methylDragon,1,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/example_interfaces,mabelzhang,2,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros2/mimick_vendor,gbiggs,4,1,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/performance_test_fixture,ahcorde,4,1,1,,ahcorde,,,,1,1,1,,,,,,,1,,,,,,,,,,,
ros2/rmw_connext,ahcorde; mjcarroll,1,1,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros2/ros2cli_common_extensions,methylDragon,1,0,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros2/ros_testing,quarkytale,1,0,1,quarkytale,,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros2/ros_workspace,nuclearsandwich,1,1,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros2/rosidl_core,jacobperron,1,0,1,,sloretz,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rosidl_dds,sloretz,2,0,1,sloretz,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rosidl_defaults,sloretz,4,1,1,sloretz,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rosidl_typesupport_connext,jacobperron; hidmic,1,1,1,sloretz,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rpyutils,quarkytale,2,1,1,quarkytale,,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros2/spdlog_vendor,quarkytale,5,0,1,quarkytale,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,1,,,
ros2/teleop_twist_joy,clalancette,3,0,1,clalancette,ahcorde,,,,1,1,1,,,,,1,,1,,,,,,,,,,,
ros2/teleop_twist_keyboard,clalancette,1,1,1,clalancette,ahcorde,,,,1,1,1,,,,,1,,1,,,,,,,,,,,
ros2/tinyxml2_vendor,audrow,1,1,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/tinyxml_vendor,gbiggs,3,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/tlsf,methylDragon,3,0,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros2/unique_identifier_msgs,methylDragon,4,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros2/variants,,3,1,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-infrastructure/rosdoc_lite,tfoote,1,1,1,,tfoote,,,,1,1,1,,,,,,1,,,,,,,,,,,,
ros-perception/laser_geometry,,4,1,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros/console_bridge,scpeters,4,1,1,,scpeters,,,,1,1,1,,,,,,,,,,,,,,1,,,,
ros/eigen_stl_containers,clalancette; sloretz,0,0,1,clalancette,,,,,1,1,1,,,,,1,,,,,,,,,,,,,
ros/urdf_parser_py,clalancette; sloretz,3,2,1,clalancette,,,,,1,1,1,,,,,1,,,,,,,,,,,,,
